dataset,nb_trees,file,nb_quads,memory_usage,loading_time
tree,1,data/persondata_en_1M.ttl,999999,31568,11.493392808999866
tree,6,data/persondata_en_1M.ttl,999999,31136,12.627370838999749
wasm_tree,1,data/persondata_en_1M.ttl,999999,409564,5.473692890999839
graphy,1,data/persondata_en_1M.ttl,999999,596256,5.453722812000662
wasm_tree,1,data/persondata_en_1M.ttl,999999,410792,5.147432830000296
tree,6,data/persondata_en_1M.ttl,999999,31232,12.623092922998593
graphy,1,data/persondata_en_1M.ttl,999999,596532,5.4905883109997955
wasm_tree,1,data/persondata_en_1M.ttl,999999,410252,5.1704611449986695
wasm_tree,6,data/persondata_en_1M.ttl,999999,408656,7.316903076000512
wasm_tree,1,data/persondata_en_1M.ttl,999999,411180,5.30970408700034
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.220268840000033
n3,3,data/persondata_en_1M.ttl,999999,1289940,6.760173636000603
n3,3,data/persondata_en_1M.ttl,999999,1285484,6.889890476999804
tree,1,data/persondata_en_1M.ttl,999999,30964,10.987503708999604
wasm_tree,1,data/persondata_en_1M.ttl,999999,411288,5.259317071998492
n3,3,data/persondata_en_1M.ttl,999999,1275944,7.064222841000184
tree,1,data/persondata_en_1M.ttl,999999,30208,10.582910426000133
tree,1,data/persondata_en_1M.ttl,999999,30628,10.728060676001013
graphy,1,data/persondata_en_1M.ttl,999999,597600,5.416731356000528
graphy,1,data/persondata_en_1M.ttl,999999,594916,5.625008325999603
graphy,1,data/persondata_en_1M.ttl,999999,595156,5.856792851999402
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.509025965999812
wasm_tree,1,data/persondata_en_1M.ttl,999999,412812,5.1692637399993835
wasm_tree,1,data/persondata_en_1M.ttl,999999,411680,5.239559553999454
tree,1,data/persondata_en_1M.ttl,999999,30208,11.230098798001185
wasm_tree,1,data/persondata_en_1M.ttl,999999,411104,5.209586908999831
tree,6,data/persondata_en_1M.ttl,999999,30740,12.583396825000644
wasm_tree,6,data/persondata_en_1M.ttl,999999,407148,7.317608797999099
tree,6,data/persondata_en_1M.ttl,999999,31044,13.015381869999691
wasm_tree,1,data/persondata_en_1M.ttl,999999,411244,5.277217023000121
wasm_tree,6,data/persondata_en_1M.ttl,999999,407692,7.339319103000686
tree,6,data/persondata_en_1M.ttl,999999,31512,13.084488973001019
wasm_tree,1,data/persondata_en_1M.ttl,999999,409768,5.538926591001451
wasm_tree,1,data/persondata_en_1M.ttl,999999,411348,5.226816680001095
tree,1,data/persondata_en_1M.ttl,999999,31656,10.408636247001589
tree,6,data/persondata_en_1M.ttl,999999,30948,12.911350735001266
tree,1,data/persondata_en_1M.ttl,999999,31668,11.687452740998939
graphy,1,data/persondata_en_1M.ttl,999999,596976,5.832254026001319
wasm_tree,1,data/persondata_en_1M.ttl,999999,409620,5.34856354800053
wasm_tree,6,data/persondata_en_1M.ttl,999999,407192,7.277367409000173
wasm_tree,1,data/persondata_en_1M.ttl,999999,410600,5.370371254000813
graphy,1,data/persondata_en_1M.ttl,999999,594308,5.624125447001308
wasm_tree,6,data/persondata_en_1M.ttl,999999,406636,7.957149652000517
graphy,1,data/persondata_en_1M.ttl,999999,594992,5.580179703999311
wasm_tree,1,data/persondata_en_1M.ttl,999999,413164,5.319076517000794
graphy,1,data/persondata_en_1M.ttl,999999,595440,5.674698336999864
tree,1,data/persondata_en_1M.ttl,999999,31060,10.850710288999602
tree,1,data/persondata_en_1M.ttl,999999,31736,10.43531866000034
tree,1,data/persondata_en_1M.ttl,999999,30208,10.931249492999166
tree,6,data/persondata_en_1M.ttl,999999,30804,12.83926320200041
n3,3,data/persondata_en_1M.ttl,999999,1288928,7.107276477001608
