dataset,nb_trees,file,nb_quads,memory_usage,loading_time
graphy,1,data/persondata_en_1M.ttl,999999,596196,5.541373726999387
n3,3,data/persondata_en_1M.ttl,999999,1288832,6.864270386999473
n3,3,data/persondata_en_1M.ttl,999999,1289304,6.817432059001177
wasm_tree,1,data/persondata_en_1M.ttl,999999,412324,5.365603111000731
wasm_tree,6,data/persondata_en_1M.ttl,999999,408108,7.410038302000612
tree,1,data/persondata_en_1M.ttl,999999,31040,10.863769238000735
tree,6,data/persondata_en_1M.ttl,999999,31576,10.498907570999116
n3,3,data/persondata_en_1M.ttl,999999,1292456,7.643434403000399
wasm_tree,1,data/persondata_en_1M.ttl,999999,411728,5.2615650430005045
tree,6,data/persondata_en_1M.ttl,999999,30720,10.471537956999615
wasm_tree,1,data/persondata_en_1M.ttl,999999,410036,5.907685835000128
n3,3,data/persondata_en_1M.ttl,999999,1293092,6.918687979001552
wasm_tree,1,data/persondata_en_1M.ttl,999999,410244,5.3205621929988265
tree,1,data/persondata_en_1M.ttl,999999,30208,10.76912424499914
wasm_tree,6,data/persondata_en_1M.ttl,999999,407476,7.52726216599904
tree,1,data/persondata_en_1M.ttl,999999,30900,10.657653884999455
graphy,1,data/persondata_en_1M.ttl,999999,596560,5.48562151700072
wasm_tree,6,data/persondata_en_1M.ttl,999999,409992,7.363831312000752
wasm_tree,1,data/persondata_en_1M.ttl,999999,409256,5.565684282999486
n3,3,data/persondata_en_1M.ttl,999999,1293936,6.844794290000573
tree,6,data/persondata_en_1M.ttl,999999,30720,10.783268540000543
wasm_tree,1,data/persondata_en_1M.ttl,999999,411132,5.898829415000975
graphy,1,data/persondata_en_1M.ttl,999999,596576,5.491150031998753
tree,6,data/persondata_en_1M.ttl,999999,30488,10.607898099999876
